বহন অন	Bahana ana
বন্ধুত্ব স্থাপন করা	Bandhutba sthāpana karā
নির্দিষ্ট সময়ের পূর্বেই	Nirdiṣṭa samaẏēra pūrbē'i
আগে	Āgē
befitting	Befitting
শোভন হত্তয়া	Śōbhana hattaẏā
befell	Befell
befallen	Befallen
ঘটা	Ghaṭā
পোকা	Pōkā
বীট গাছ	Bīṭa gācha
মোম	Mōma
বিয়ার	Biẏāra
সিগন্যালম্যান	Sigan'yālamyāna
হুইসেল	Hu'isēla
হয়েছে	Haẏēchē
সরল রেখা	Sarala rēkhā
মৌচাক	Maucāka
নিরেট	Nirēṭa
গরুর মাংস	Garura mānsa
বীচবৃক্ষসংক্রান্ত	Bīcabr̥kṣasaṅkrānta
মৌমাছি	Maumāchi
শয়নকাল	Śaẏanakāla
শয্যাচ্ছাদনী	Śayyācchādanī
bedside	Bedside
শয়নকক্ষ	Śaẏanakakṣa
শয্যাশায়ী	Śayyāśāẏī
bedraggled	Bedraggled
রূগ্ণ ব্যক্তিদিগের জন্য শয্যায় মলত্যাগের পাত্রবিশেষ	Rūgṇa byaktidigēra jan'ya śayyāẏa malatyāgēra pātrabiśēṣa
পাগলা গারদ	Pāgalā gārada
বিছানাপত্র	Bichānāpatra
শয্যোপকরণ	Śayyōpakaraṇa
ছারপোকা	Chārapōkā
বেড এন্ড ব্রেকফাস্ট	Bēḍa ēnḍa brēkaphāsṭa
বিছানা	Bichānā
মানানসই	Mānānasa'i
হয়ে	Haẏē
ইশারা করা	Iśārā karā
এর কারণ	Ēra kāraṇa
কারণ	Kāraṇa
ওঠে	Ōṭhē
Bebop	Bebop
বীবর	Bībara
কেতাদোরস্ত প্রসাধনের ত্ত অঙ্গসজ্জার দোকান	Kētādōrasta prasādhanēra tta aṅgasajjāra dōkāna
সৌন্দর্য	Saundarya
সুন্দর	Sundara
সুন্দর	Sundara
প্রসাধনীয় থলি	Prasādhanīẏa thali
প্রহার	Prahāra
আঘাতকারী	Āghātakārī
প্রহৃত	Prahr̥ta
বীট	Bīṭa
জন্তু	Jantu
ভালুক বাজারে	Bhāluka bājārē
জন্মদান	Janmadāna
বাহক	Bāhaka
শ্মশ্রুধারী	Śmaśrudhārī
দাড়ি	Dāṛi
সহনীয়	Sahanīẏa
ভালুক	Bhāluka
শিম	Śima
মরীচি	Marīci
পানপাত্র	Pānapātra
ঠোঁট	Ṭhōm̐ṭa
গুপ্তচর	Guptacara
গুটিকাসদৃশ	Guṭikāsadr̥śa
গুটিকা	Guṭikā
বাতিঘর	Bātighara
সৈকত বল	Saikata bala
সৈকত	Saikata
থাকা	Thākā
বি.সি.	Bi.Si.
JadurKathi.com বাংলাদেশের	JadurKathi.Com bānlādēśēra
কাটরা	Kāṭarā
ঘুলঘুলি	Ghulaghuli
Bayou	Bayou
সঙ্গিন	Saṅgina
উপসাগর	Upasāgara
চিত্কার	Citkāra
অশ্লীল	Aślīla
রণতরী	Raṇatarī
যুদ্ধক্ষেত্র	Yud'dhakṣētra
যুদ্ধক্ষেত্র	Yud'dhakṣētra
যুদ্ধ	Yud'dha
ব্যাটারি	Byāṭāri
ক্ষত	Kṣata
পিটা	Piṭā
ব্যাটেলিয়ন	Byāṭēliẏana
রূল	Rūla
ব্যাট Mitzvah	Byāṭa Mitzvah
বাথটব	Bāthaṭaba
পায়খানা	Pāẏakhānā
bathrobe	Bathrobe
স্নান মামলা	Snāna māmalā
স্নান	Snāna
স্নান	Snāna
bated	Bated
ব্যাচ	Byāca
বাদুড়	Bāduṛa
জারজ	Jāraja
কাঠের বান্শিবিশেষ	Kāṭhēra bānśibiśēṣa
bassist	Bassist
খাদ গিটার	Khāda giṭāra
খাদ	Khāda
বাস্কেট কেস	Bāskēṭa kēsa
বাস্কেটবল	Bāskēṭabala
ঝুড়ি	Jhuṛi
পোয়ানো	Pōẏānō
ভিত্তি	Bhitti
গামলা	Gāmalā
মূলসূত্র	Mūlasūtra
মূলত	Mūlata
মৌলিক	Maulika
bashing	Bashing
লাজুক	Lājuka
সজোরে আঘাত	Sajōrē āghāta
ঘাঁটি	Ghām̐ṭi
বুনিয়াদ	Buniẏāda
বেসবল	Bēsabala
ভিত্তি	Bhitti
বিনিময়	Binimaẏa
মদের দোকানের পরিবেষক	Madēra dōkānēra paribēṣaka
barroom	Barroom
Barrio	Barrio
ছাড়া	Chāṛā
বাধা	Bādhā
ব্যারিকেড	Byārikēḍa
অনুর্বর	Anurbara
পিপা	Pipā
বাঁধ	Bām̐dha
ব্যারাকে	Byārākē
ব্যারন	Byārana
আবহমানসংক্রান্ত	Ābahamānasaṅkrānta
আবহমানযন্ত্র	Ābahamānayantra
barnyard	Barnyard
রাজহংসবিশেষ	Rājahansabiśēṣa
শস্যাগার	Śasyāgāra
বার Mitzvah	Bāra Mitzvah
যব	Yaba
বাকল	Bākala
ব্যারিটন	Byāriṭana
বজরা	Bajarā
কারবারী চিপ	Kārabārī cipa
ক্রয়বিক্রয়	Kraẏabikraẏa
Barf	Barf
সবে	Sabē
নগ্নপদে	Nagnapadē
বেয়ার হাড়	Bēẏāra hāṛa
খালি	Khāli
বার কোড	Bāra kōḍa
নিদ্রা-উদ্রেককর ঔষধবিশেষ	Nidrā-udrēkakara auṣadhabiśēṣa
নাপিত	Nāpita
বারবেল	Bārabēla
কাঁটাতার	Kām̐ṭātāra
কাবাব	Kābāba
বর্বরতা	Barbaratā
আদিম	Ādima
অসভ্য	Asabhya
বার	Bāra
খ্রীষ্টধর্মে দীক্ষা দেত্তয়া	Khrīṣṭadharmē dīkṣā dēttaẏā
অভিসিঁচনকারী	Abhisim̐canakārī
পবিত্র অভিসিঁচনসংক্রান্ত	Pabitra abhisim̐canasaṅkrānta
যুদ্ধের অভিজ্ঞতা	Yud'dhēra abhijñatā
পরিহাস	Parihāsa
ভোজ	Bhōja
নিশান	Niśāna
দেউলিয়া	Dē'uliẏā
দেউলিয়া	Dē'uliẏā
ব্যাংকিং	Byāṅkiṁ
মহাজন	Mahājana
ব্যাংক	Byāṅka
তারের বাদ্যযন্ত্রবিশেষ	Tārēra bādyayantrabiśēṣa
ক্ষুদ্র স্তম্ভ	Kṣudra stambha
খেদান	Khēdāna
চৌকো করে কাটা	Caukō karē kāṭā
বালা	Bālā
ঠুং	Ṭhuṁ
সর্বনাশ	Sarbanāśa
হকিখেলা	Hakikhēlā
জনপ্রি়তার গাড়ি	Janapritāra gāṛi
ঐকতানবাদের জন্য স্থায়ী মঁচ	Aikatānabādēra jan'ya sthāẏī mam̐ca
ডাকাত	Ḍākāta
রূমালবিশেষ	Rūmālabiśēṣa
ব্যান্ড - এইড	Byānḍa - ē'iḍa
ব্যাণ্ডেজ	Byāṇḍēja
দল	Dala
কলা	Kalā
তুচ্ছতা	Tucchatā
গতানুগতিক	Gatānugatika
নিষেধাজ্ঞা	Niṣēdhājñā
বোকা বানান	Bōkā bānāna
বাঁশ	Bām̐śa
বাজে কথা	Bājē kathā
প্রশমনকারী	Praśamanakārī
সুগন্ধ পদার্থ	Sugandha padārtha
বাজে কথা	Bājē kathā
নৃত্যশালা	Nr̥tyaśālā
কলম	Kalama
ballpark	Ballpark
ভোটপত্র	Bhōṭapatra
বেলুন	Bēluna
নিক্ষিপ্ত অস্ত্রাদি-সংক্রান্ত বিদ্যা	Nikṣipta astrādi-saṅkrānta bidyā
ক্ষেপণাস্ত্র সম্পর্কীয়	Kṣēpaṇāstra samparkīẏa
কার্যক্ষেত্র	Kāryakṣētra
ব্যালে	Byālē
নর্তকী	Nartakī
গাথা	Gāthā
বল	Bala
কড়িকাঠ	Kaṛikāṭha
বিপর্যয়কর	Biparyaẏakara
অনিষ্ট	Aniṣṭa
balding	Balding
পালকহীন ঈগল	Pālakahīna īgala
পালকহীন	Pālakahīna
অলিন্দ	Alinda
নিকাশ	Nikāśa
ক্ষমতার ভারসাম্য	Kṣamatāra bhārasāmya
সুষম	Suṣama
ভারসাম্য	Bhārasāmya
বেকারি	Bēkāri
রূটিত্তয়ালা	Rūṭittaẏālā
সেকা	Sēkā
টোপ	Ṭōpa
সাধ্যপাল	Sādhyapāla
জামিন	Jāmina
bagpipes	Bagpipes
ব্যাগ ভদ্রমহিলা	Byāga bhadramahilā
বেঢপ	Bēḍhapa
পোঁটলা	Pōm̐ṭalā
bagel	Bagel
ব্যাগ	Byāga
বিভ্রান্তিকর	Bibhrāntikara
Baffled	Baffled
কিংকর্তব্যবিমূঢ় করা	Kiṅkartabyabimūṛha karā
কলঙ্কিত করা	Kalaṅkita karā
ব্যাডমিন্টন	Byāḍaminṭana
খারাপভাবে	Khārāpabhābē
কটুকাটব্য	Kaṭukāṭabya
অনুর্বর জমি	Anurbara jami
ব্যাজার	Byājāra
ব্যাজ	Byāja
Bade	Bade
খারাপ	Khārāpa
ব্যাকটেরিয়া	Byākaṭēriẏā
বেকন	Bēkana
বাড়ির পিছনের দিকের উঠোন	Bāṛira pichanēra dikēra uṭhōna
গ্রামের প্রান্তস্থিত বন	Grāmēra prāntasthita bana
পিছে	Pichē
অনগ্রসর	Anagrasara
ব্যাকআপ	Byāka'āpa
প্রত্যাখ্যান করা	Pratyākhyāna karā
চিত্সাঁতার	Citsām̐tāra
গোপনে	Gōpanē
পাছ	Pācha
নিম্নস্থান	Nimnasthāna
Backpacker	Backpacker
ব্যাকপ্যাক	Byākapyāka
জমা কাজ	Jamā kāja
নেতিবাচক প্রতিক্রিয়া	Nētibācaka pratikriẏā
সমর্থন	Samarthana
প্যাঁচালো	Pyām̐cālō
backhand	Backhand
পটভূমি	Paṭabhūmi
ব্যাকগ্যামন	Byākagyāmana
বিপর্যয় ঘটা	Biparyaẏa ghaṭā
সমর্থক	Samarthaka
পরিপ্রেক্ষিত	Pariprēkṣita
backbreaking	Backbreaking
দাঁড়া	Dām̐ṛā
পিছনে	Pichanē
কুমার	Kumāra
ঠিকা ছেলে-ধরনি	Ṭhikā chēlē-dharani
babysit	Babysit
babysat	Babysat
ঠেলাগাড়ি	Ṭhēlāgāṛi
শিশুর ক্যাঙ্গারুর নর	Śiśura kyāṅgārura nara
শিশুর গম্ভীর গর্জন	Śiśura gambhīra garjana
বাচ্চা	Bāccā
বানরজাতীয় প্রাণিবিশেষ	Bānarajātīẏa prāṇibiśēṣa
খোকামনি	Khōkāmani
কলধ্বনি	Kaladhbani
ছাগলের ডাক	Chāgalēra ḍāka
বিএ	Bi'ē
প্রত্যক্ষ সাক্ষী	Pratyakṣa sākṣī
চক্ষুশূল	Cakṣuśūla
দৃষ্টিশক্তি	Dr̥ṣṭiśakti
চোখের ছায়া	Cōkhēra chāẏā
চোখ খুলে	Cōkha khulē
eyeliner	Eyeliner
নেত্রপল্লব	Nētrapallaba
পক্ষ্ম	Pakṣma
চশমা	Caśamā
আকর্ষণীয়	Ākarṣaṇīẏa
ভুরু	Bhuru
অক্ষিগোলক	Akṣigōlaka
চোখ	Cōkha
উল্লাস	Ullāsa
উল্লসিত	Ullasita
অতিশয় আনন্দ করা	Atiśaẏa ānanda karā
ঝরান	Jharāna
উচ্ছ্বাসিত	Ucchbāsita
উদ্দীপনা	Uddīpanā
extroverted	Extroverted
বহির্মুখ	Bahirmukha
মুক্ত করা	Mukta karā
প্রান্তসীমা	Prāntasīmā
পা	Pā
চরমপন্থী	Caramapanthī
চরমপন্থা	Caramapanthā
অত্যন্ত	Atyanta
চরম	Carama
extravagantly	Extravagantly
অসংযত	Asanyata
অপচয়	Apacaẏa
extraterrestrial	Extraterrestrial
পূর্বেই দেখা	Pūrbē'i dēkhā
অসাধারণ	Asādhāraṇa
খুব	Khuba
পরক	Paraka
বহি: সমর্পন	Bahi: Samarpana
যোগ্য কর্তৃপক্ষ হস্তে সমর্পন করা	Yōgya kartr̥pakṣa hastē samarpana karā
নিয়মিত পাঠক্রম বহির্ভূত	Niẏamita pāṭhakrama bahirbhūta
নিষ্কাশন	Niṣkāśana
সার	Sāra
অতিরিক্ত	Atirikta
অত্যাচারী	Atyācārī
বলপ্রয়োগ আদায় করা	Balapraẏōga ādāẏa karā
দোহন	Dōhana
উচ্চপ্রশংসা করা	Uccapraśansā karā
নির্বাপক	Nirbāpaka
নিভান	Nibhāna
বিলোপ	Bilōpa
লুপ্ত	Lupta
বহিরাগত	Bahirāgata
উন্মুলয়িতা	Unmulaẏitā
উন্মূলন	Unmūlana
উপড়াইয়া ফেলা	Upaṛā'iẏā phēlā
বহি	Bahi
ব্যাপ্তি	Byāpti
ব্যাপকভাবে	Byāpakabhābē
ব্যাপক	Byāpaka
প্রসার	Prasāra
বর্ধিত পরিবার	Bardhita paribāra
প্রসারিত করা	Prasārita karā
অনিয়মিত	Aniẏamita
অত্যন্ত সুন্দরভাবে	Atyanta sundarabhābē
সূক্ষ্ম	Sūkṣma
নির্বাসন	Nirbāsana
বাজেয়াপ্তকরণ	Bājēẏāptakaraṇa
দখলচু্যত করা	Dakhalacuyata karā
মোটর রাজপথ	Mōṭara rājapatha
স্পষ্টভাবে	Spaṣṭabhābē
expressively	Expressively
ভাবপূর্ণ	Bhābapūrṇa
অভিব্যক্তি	Abhibyakti
দ্রুতগামী	Drutagāmī
প্রকাশ	Prakāśa
উদ্ভাস	Udbhāsa
উদ্ভাসিত	Udbhāsita
খুলা	Khulā
রপ্তানিকারক	Raptānikāraka
রপ্তানিকরণ	Raptānikaraṇa
রপ্তানি	Raptāni
সূচক	Sūcaka
উত্পন্ন দ্রব্যাদির আন্তর্জাতিক প্রদর্শনী	Utpanna drabyādira āntarjātika pradarśanī
বিস্ফোরক	Bisphōraka
বিস্ফোরণ	Bisphōraṇa
অনুসন্ধানকারী	Anusandhānakārī
অন্বেষণ করা	Anbēṣaṇa karā
অনুসন্ধানাত্মক	Anusandhānātmaka
অনুসন্ধান	Anusandhāna
শোষণ	Śōṣaṇa
কাজে লাগান	Kājē lāgāna
বিস্ফোরিত করা	Bisphōrita karā
স্পষ্টভাবে	Spaṣṭabhābē
স্পষ্ট	Spaṣṭa
কহতব্য	Kahatabya
অনুপূরক	Anupūraka
ব্যাখ্যামূলক	Byākhyāmūlaka
ব্যাখ্যা	Byākhyā
ব্যাখ্যা করা	Byākhyā karā
মেয়াদ শেষ	Mēẏāda śēṣa
মেয়াদ শেষের তারিখ	Mēẏāda śēṣēra tārikha
মৃতু্য	Mr̥tuya
expertly	Expertly
অভিজ্ঞতা	Abhijñatā
বিশেষজ্ঞ	Biśēṣajña
পরীক্ষা	Parīkṣā
পরীক্ষামূলকভাবে	Parīkṣāmūlakabhābē
পরীক্ষামূলক	Parīkṣāmūlaka
পরীক্ষা	Parīkṣā
অভিজ্ঞ	Abhijña
অভিজ্ঞতা	Abhijñatā
expensively	Expensively
ব্যয়বহুল	Byaẏabahula
খরচ	Kharaca
ব্যয় অ্যাকাউন্ট	Byaẏa ayākā'unṭa
ব্যয়	Byaẏa
ব্যয়	Byaẏa
ব্যয় করা যয় এমন	Byaẏa karā yaẏa ēmana
ব্যয় করা	Byaẏa karā
বিতাড়িত করা	Bitāṛita karā
অভিযান	Abhiyāna
সুবিধাযুক্ত	Subidhāyukta
সমীচীন	Samīcīna
যুক্তিযুক্ততা	Yuktiyuktatā
প্রত্যাশা	Pratyāśā
হাসে	Hāsē
প্রত্যাশী	Pratyāśī
প্রত্যাশা	Pratyāśā
আশা করা	Āśā karā
নির্বাসিত ব্যক্তি	Nirbāsita byakti
অকপট	Akapaṭa
সম্প্রসারণবাদী	Samprasāraṇabādī
সম্প্রসারণ	Samprasāraṇa
বিস্তৃতি	Bistr̥ti
সম্প্রসারিত	Samprasārita
বিস্তৃত করা	Bistr̥ta karā
বহিরাগত	Bahirāgata
ভূতের রাজা	Bhūtēra rājā
গুণ	Guṇa
গলাকাটা	Galākāṭā
ক্ষালন	Kṣālana
ক্ষালন করা	Kṣālana karā
প্রস্থান	Prasthāna
প্রস্থান ঢালু	Prasthāna ḍhālu
প্রস্থান পোল	Prasthāna pōla
প্রস্থান	Prasthāna
বিদ্যমান	Bidyamāna
অস্তিত্ব	Astitba
উপস্থিত থাকা	Upasthita thākā
নির্বাসন	Nirbāsana
কবর হতে তোলা	Kabara hatē tōlā
প্রকাশ করা	Prakāśa karā
পরামর্শ	Parāmarśa
উত্সাহিত করা	Utsāhita karā
উল্লাস	Ullāsa
উল্লাসজনক	Ullāsajanaka
প্রাণবন্ত করা	Prāṇabanta karā
প্রদর্শক	Pradarśaka
exhibitionist	Exhibitionist
অঙ্গের অশোভনীয় অনাবৃত অবস্থা	Aṅgēra aśōbhanīẏa anābr̥ta abasthā
প্রদর্শনী খেলা	Pradarśanī khēlā
প্রদর্শনী	Pradarśanī
প্রদর্শক	Pradarśaka
exhaustively	Exhaustively
সম্পূর্ণ	Sampūrṇa
অবসাদ	Abasāda
ক্লান্তিকর	Klāntikara
ক্লান্ত	Klānta
এক্সস্ট	Ēksasṭa
বাষ্পীভূত করা	Bāṣpībhūta karā
উদ্যম	Udyama
জাহির করা	Jāhira karā
ব্যায়াম	Byāẏāma
রেহাই	Rēhā'i
অব্যাহতিপ্রাপ্ত	Abyāhatiprāpta
উদাহরণ দ্বারা ব্যাখ্যা করা	Udāharaṇa dbārā byākhyā karā
অনুকরণীয়	Anukaraṇīẏa
নির্বাহক	Nirbāhaka
কার্যনির্বাহী	Kāryanirbāhī
জল্লাদ	Jallāda
ফাঁসি	Phām̐si
নির্বাহ করা	Nirbāha karā
Exec	Exec
ক্ষমা	Kṣamā
মার্জনীয়	Mārjanīẏa
ভ্রমণ	Bhramaṇa
excruciatingly	Excruciatingly
মর্মযন্ত্রণাপূর্ণ	Marmayantraṇāpūrṇa
নাদা	Nādā
বিষ্ঠা	Biṣṭhā
লেজার নির্দেশক	Lējāra nirdēśaka
সমাজচু্যত করা	Samājacuyata karā
কেবলমাত্র	Kēbalamātra
একচেটিয়া	Ēkacēṭiẏā
বর্জন	Barjana
অপসারণ	Apasāraṇa
বহিষ্কৃত করা	Bahiṣkr̥ta karā
বিস্ময়বোধক বিন্দু	Bismaẏabōdhaka bindu
উচ্চ শব্দ	Ucca śabda
চীত্কার করা	Cītkāra karā
উত্তেজনাপূর্ণ	Uttējanāpūrṇa
উত্তেজনা	Uttējanā
ব্যস্ততাসহকারে	Byastatāsahakārē
অধীর	Adhīra
জাগান	Jāgāna
উত্তেজনক্ষম	Uttējanakṣama
ছেদন	Chēdana
আবগারি	Ābagāri
বিনিময় হার	Binimaẏa hāra
বিনিময়	Binimaẏa
বেজায়	Bējāẏa
অত্যধিক	Atyadhika
বাহুল্যও	Bāhulya'ō
বাড়তি	Bāṛati
উদ্ধৃতাংশ	Ud'dhr̥tānśa
অত্যন্ত	Atyanta
ব্যতিক্রমী	Byatikramī
ব্যতিক্রম	Byatikrama
ছাড়া	Chāṛā
চমত্কার	Camatkāra
সম্যক্	Samyak
সীমা অতিক্রম করা	Sīmā atikrama karā
শ্রেষ্ঠত্ব	Śrēṣṭhatba
অতীব	Atība
অতিক্রম করা	Atikrama karā
খনন	Khanana
খুঁড়া	Khum̐ṛā
উত্তেজনা	Uttējanā
অতিশয় বিরক্তিকর	Atiśaẏa biraktikara
exasperated	Exasperated
ক্রুদ্ধ করা	Krud'dha karā
উদাহরণ	Udāharaṇa
পরীক্ষক	Parīkṣaka
পরীক্ষা করা	Parīkṣā karā
পরীক্ষা	Parīkṣā
পরীক্ষা	Parīkṣā
উল্লাস	Ullāsa
মহিমান্বিত করা	Mahimānbita karā
রঙ	Raṅa
ফলাও	Phalā'ō
ফলান	Phalāna
ঠিক	Ṭhika
ছিদ্রান্বেষী	Chidrānbēṣī
সঠিক	Saṭhika
বর্ধিত করা	Bardhita karā
অপ	Apa
ভেড়ী	Bhēṛī
গজান	Gajāna
অভিব্যক্তিমূলক	Abhibyaktimūlaka
বিবর্তন	Bibartana
আহ্বান করা	Āhbāna karā
শিল্পানুগ	Śilpānuga
মন্দ	Manda
স্পষ্টরূপে	Spaṣṭarūpē
স্পষ্ট	Spaṣṭa
প্রমাণ	Pramāṇa
উচ্ছেদ	Ucchēda
উচ্ছেদ করা	Ucchēda karā
সর্বত্র	Sarbatra
সব	Saba
everyplace	Everyplace
সবাই	Sabā'i
দৈনন্দিন	Dainandina
সবাই	Sabā'i
প্রতি	Prati
সতত	Satata
অনন্ত	Ananta
চিরহরিৎ	Cirahariṯ
নিত্য	Nitya
অবশেষে	Abaśēṣē
পরিণাম	Pariṇāma
পরিণামস্বরূপ	Pariṇāmasbarūpa
ঘটনাবহুল	Ghaṭanābahula
ঘটনা	Ghaṭanā
evenness	Evenness
সমান	Samāna
সন্ধ্যায়	Sandhyāẏa
সন্ধ্যা	Sandhyā
evenhanded	Evenhanded
এমন কি	Ēmana ki
ইভ	Ibha
অসরল	Asarala
ছল	Chala
বাষ্পীভবন	Bāṣpībhabana
উবা	Ubā
ধর্মপ্রচারক	Dharmapracāraka
ধর্মপ্রচার	Dharmapracāra
খ্রীষ্টীয় ঘটিত	Khrīṣṭīẏa ghaṭita
মূল্যায়ন	Mūlyāẏana
সংখ্যা নির্ণয় করা	Saṅkhyā nirṇaẏa karā
টালা	Ṭālā
উদ্বাস্তু	Udbāstu
উদ্বাসন	Udbāsana
পায়খানা করা	Pāẏakhānā karā
আরামের মরণ	Ārāmēra maraṇa
ইউরোপীয়	I'urōpīẏa
ইউরোপ	I'urōpa
euphoric	Euphoric
রমরমা	Ramaramā
euphemistically	Euphemistically
euphemistic	Euphemistic
euphemism	Euphemism
নপুংসক	Napunsaka
বাখান	Bākhāna
স্তুতি করা	Stuti karā
ব্যাকরণ	Byākaraṇa
শিষ্টাচার	Śiṣṭācāra
জাতিগত	Jātigata
নীতিশাস্ত্র	Nītiśāstra
নীতিগত	Nītigata
নৈতিক	Naitika
নৈতিক	Naitika
গগনচারী	Gaganacārī
থার	Thāra
অনন্তকাল	Anantakāla
eternally	Eternally
অনন্ত	Ananta
খোদাই করা	Khōdā'i karā
প্রভৃতি	Prabhr̥ti
এট আল.	Ēṭa āla.
মোহনা	Mōhanā
ইস্ট্রজেন	Isṭrajēna
বিরোধ	Birōdha
বিছিন্ন	Bichinna
প্রাক্কলন	Prākkalana
আনুমানিক	Ānumānika
হিসাব	Hisāba
শ্রদ্ধেয়	Śrad'dhēẏa
esthetically	Esthetically
সৌন্দর্যবোধবিশিষ্ট	Saundaryabōdhabiśiṣṭa
উচ্চমূল্য	Uccamūlya
স্টেট	Sṭēṭa
সংস্থাপন	Sansthāpana
স্থাপন করা	Sthāpana karā
মূলত	Mūlata
অপরিহার্য	Aparihārya
সারাংশ	Sārānśa
প্রবন্ধ	Prabandha
এসপ্রেসো	Ēsaprēsō
বিবাহ করা	Bibāha karā
গুপ্তচরবৃত্তি	Guptacarabr̥tti
বিশেষত	Biśēṣata
ESP .	ESP.
ESP	ESP
গূঢ়	Gūṛha
অন্ননালী	Annanālī
ইএসএল	I'ēsa'ēla
এস্কিমো	Ēskimō
সহচর	Sahacara
পরিহার করা	Parihāra karā
পলায়নী প্রবৃত্তিপূর্ণ	Palāẏanī prabr̥ttipūrṇa
পলায়নী প্রবৃত্তি	Palāẏanī prabr̥tti
পলান	Palāna
অব্যাহতি	Abyāhati
পলায়ন	Palāẏana
চলন্ত সিঁড়ি	Calanta sim̐ṛi
তীব্রতাবৃদ্ধি	Tībratābr̥d'dhi
ধাপে ধাপে বৃদ্ধি করা	Dhāpē dhāpē br̥d'dhi karā
অগ্ন্যুত্পাত	Agn'yutpāta
বিস্ফোরণ হত্তয়া	Bisphōraṇa hattaẏā
বিদ্যা	Bidyā
জ্ঞানী	Jñānī
ভুল	Bhula
ভ্রান্ত	Bhrānta
ভ্রান্তভাবে	Bhrāntabhābē
erratically	Erratically
অনিশ্চিত	Aniścita
ভ্রমণরত	Bhramaṇarata
প্রেরিত বার্তা	Prērita bārtā
ভুল করা	Bhula karā
eroticism	Eroticism
erotically	Erotically
প্রেমমূলক	Prēmamūlaka
ক্ষয়	Kṣaẏa
ক্ষয় করা	Kṣaẏa karā
ইমারত	Imārata
খাড়া	Khāṛā
রবার	Rabāra
নিশ্চিহ্ন করা	Niścihna karā
উচ্ছেদ	Ucchēda
সমূলে উত্পাটন করা	Samūlē utpāṭana karā
যুগ	Yuga
ইআর	I'āra
সন্দেহজনক	Sandēhajanaka
সমতুল্য	Samatulya
সমানতা	Samānatā
ইকুইটি	Iku'iṭi
ন্যায়সঙ্গত	N'yāẏasaṅgata
সজ্জিত	Sajjita
উপকরণ	Upakaraṇa
প্রস্তুত করা	Prastuta karā
বিষুব	Biṣuba
অশ্বতুল্য	Aśbatulya
সুস্থিতি	Susthiti
সমবাহু	Samabāhu
অশ্বারূঢ়	Aśbārūṛha
নিরক্ষীয়	Nirakṣīẏa
বিষুবরেখা	Biṣubarēkhā
সমীকরণ	Samīkaraṇa
সমীকরণ করা	Samīkaraṇa karā
মনের সমতা	Manēra samatā
সমান চিহ্ন	Samāna cihna
সমানভাবে	Samānabhābē
সমান করা	Samāna karā
সমতা	Samatā
সমান	Samāna
কাল	Kāla
চুম্বক করা	Cumbaka karā
সংক্ষিপ্তসার	Saṅkṣiptasāra
বিশেষণ	Biśēṣaṇa
সমাধিস্তম্ভ-লিপি	Samādhistambha-lipi
পত্র	Patra
অনিয়মিত	Aniẏamita
উপাখ্যান	Upākhyāna
বিশপ-সংক্রান্ত	Biśapa-saṅkrānta
এপিসকোপাল চার্চ	Ēpisakōpāla cārca
পরিশেষ	Pariśēṣa
মৃগীরোগী	Mr̥gīrōgī
মৃগীরোগ	Mr̥gīrōga
শ্লেষ	Ślēṣa
মহামারী	Mahāmārī
উপকেন্দ্র	Upakēndra
মহাকাব্য	Mahākābya
ক্ষণজীবী	Kṣaṇajībī
সৈন্যদের স্কন্ধোপরিস্থ বিহ্ন	Sain'yadēra skandhōparistha bihna
উত্সেচক	Utsēcaka
দ্বেষ	Dbēṣa
দূত	Dūta
কল্পনা করা	Kalpanā karā
বিবেচনা	Bibēcanā
শহরতলি	Śaharatali
পরিবেশ	Paribēśa
পরিবেশবিদ	Paribēśabida
পরিবেশগত	Paribēśagata
পরিবেশ	Paribēśa
enviously	Enviously
পরশ্রীকাতর	Paraśrīkātara
বাঁছনীয়	Bām̐chanīẏa
খাম	Khāma
মোড়া	Mōṛā
উক্তি	Ukti
বিবৃত করা	Bibr̥ta karā
গনা	Ganā
বয়ন করা	Baẏana karā
entryway	Entryway
এন্ট্রি - স্তরের	Ēnṭri - starēra
প্রবেশ	Prabēśa
বিশ্বাস স্থাপন করা	Biśbāsa sthāpana karā
উদ্যোক্তা	Udyōktā
ব্যবসায়ে ঝুঁকিদার	Byabasāẏē jhum̐kidāra
প্রবেশাধিকার	Prabēśādhikāra
অনুরোধ	Anurōdha
অনুনয় করা	Anunaẏa karā
entrapment	Entrapment
ফাঁদে ধরা	Phām̐dē dharā
প্রবেশক	Prabēśaka
প্রবেশদ্বার ঢালু	Prabēśadbāra ḍhālu
প্রবেশদ্বার	Prabēśadbāra
অন্ত্র	Antra
পরিপার্শ্ব	Paripārśba
পতঙ্গবিজ্ঞান	Pataṅgabijñāna
পতঙ্গবিজ্ঞানী	Pataṅgabijñānī
সত্তা	Sattā
এনটাইটেলমেন্টের	Ēnaṭā'iṭēlamēnṭēra
স্বত্ববান	Sbatbabāna
আখ্যাত করা	Ākhyāta karā
সম্পূর্ণতা	Sampūrṇatā
সম্পূর্ণরূপে	Sampūrṇarūpē
সমগ্র	Samagra
enticing	Enticing
প্রলোভন	Pralōbhana
প্রলুব্ধ করা	Pralubdha karā
উৎসাহের	Uṯsāhēra
উত্সাহী	Utsāhī
কৌতূহলী ব্যক্তি	Kautūhalī byakti
উদ্যম	Udyama
উদ্যমী করান	Udyamī karāna
enthralling	Enthralling
