নৌকা	nauka
পালন	palana
পালন	palana
করা	kara
পালা	pala
পালান	palana
পালান	palana
বিছানা	bichana
পালিয়ে	paliye
পালিশ	palisha
পালোয়ান	paloyana
পাল্কি	palki
পাশ	pasha
পাশব	pashaba
পাশবিক	pashabika
পাশবিকতা	pashabikata
পাশা	pasha
পাশাখেলাবিশেষ	pashakhelabishesa
পাশাপাশি	pashapashi
পাশাপাশি	pashapashi
শান্তিপূর্ণভাবে	shantipurnabhabe
পাশাপাশি	pashapashi
স্থাপন	sthapana
করা	kara
পাশে	pashe
ঝুলিয়া	jhuliya
পড়া	para
পাশের	pashera
বাড়ির	barira
পাষণ্ড	pasanda
পাষাণহৃদয়	pasanahrdaya
পাস	pasa
পাসওয়ার্ড	pasaoyarda
পাসপোর্ট	pasapora
পাসোভার	pasobhara
পাস্তা	pasta
পাস্তুরায়ন	pasturayana
পাহাড়	pahara
পাহাড়ী	pahari
পাহাড়ের	paharera
চূড়া	cura
পাহারা	pahara
পাহারাদার	paharadara
পি	pi
পিং	ping
পিংপং	pimpang
খেলা	khela
পিংপং	pimpang
পিউরিট্যানিক	piuriyanika
পিএ	pie
পিএ	pie
সিস্টেম	sisema
পিএইচ	pieica
পিক	pika
পিক	pika
ট্রাক	raka
পিকনিক	pikanika
পিকলু	pikalu
পিক্যান	pikyana
পিক্সি	piksi
পিক্সেল	piksela
পিঙ্গল	pingala
পিচ	pica
পিচকারি	picakari
পিচবোর্ড	picaborda
পিচের	picera
কাল	kala
পিচ্ছিল	picchila
পিছন	pichana
পিছন	pichana
শেষ	shesa
পিছনে	pichane
পিছনের	pichanera
পিছলাইয়া	pichalaiya
পড়া	para
পিছলে	pichale
পড়া	para
পিছে	piche
পিজা	pija
পিট	pia
পিটপিট্	piapi
করা	kara
পিটা	pia
পিটার	piara
পিটুনি	piuni
পিঠ	piha
চাপড়ান	caparana
পিঠা	piha
পিতল	pitala
পিতলের	pitalera
বড়	bara
বাঁশি	bamshi
পিতা	pita
পিতামহ	pitamaha
পিতামহ	pitamaha
ঘড়ি	ghari
পিতার	pitara
দিন	dina
পিতৃতুল্য	pitrtulya
পিতৃত্ব	pitrtba
পিতৃশাসিত	pitrshasita
পিত্ত	pitta
পিত্তকোষ	pittakosa
পিন	pina
পিন	pina
এবং	ebang
সূঁচ	sumca
পিন	pina
নম্বর	nambara
পিনবল	pinabala
মেশিন	meshina
পিপা	pipa
পিপি	pipi
পিপীলিকা	pipilika
পিভট	pibhaa
পিয়ন	piyana
পিয়ানো	piyano
পিয়ানোবোদক	piyanobodaka
পিরামিড	piramida
পিল	pila
পিলসুজ	pilasuja
পিশাচ	pishaca
পিষা	pisa
পিষ্টক	pisaka
পিস	pisa
কর্পস	karpasa
পিসি	pisi
পিস্টন	pisana
পিস্তল	pistala
পীচ	pica
পীড়ক	piraka
পীড়ন	pirana
করা	kara
পীড়াদায়ক	piradayaka
পীড়িত	pirita
করান	karana
পুঁচকে	pumcake
পুঁচকে	pumcake
হালফ্যাশনে	halaphyashane
পুঁজিপতি	pumjipati
পুঁজিবাদ	pumjibada
পুঁজিবাদী	pumjibadi
পুংজননেন্দ্রি়	punjananendri
পুকুর	pukura
পুঙ্খানুপুঙ্খ	punkhanupunkha
পুঙ্খানুপুঙ্খভাবে	punkhanupunkhabhabe
পুচ্ছ	puccha
পুছা	pucha
পুটিং	puing
পুড়ন	purana
পুড়া	pura
পুড়ান	purana
পুডিং	puding
পুডিংবিশেষ	pudimbishesa
পুণ্য	punya
পুতলি	putali
পুতুল	putula
পুতুলনাচ	putulanaca
পুতুলের	putulera
বাড়ী	bari
পুত্র	putra
পুদিনা	pudina
পুন	puna
প্রকাশ	prakasha
পুন	puna
প্রতিষ্ঠা	pratisha
পুন	puna
শিক্ষা	shiksa
পুন	puna
শিক্ষা	shiksa
দেত্তয়া	dettaya
পুন	puna
সংস্কার	sanskara
করা	kara
পুনঃঅর্থনৈতিক	punaharthanaitika
সংস্থানের	sansthanera
পুনঃনির্বাচিত	punahnirbacita
পুনঃবিবেচনা	punahbibecana
পুনরধিকার	punaradhikara
করা	kara
পুনরাবির্ভা	punarabirbha
পুনরাবির্ভুত	punarabirbhuta
হত্তয়া	hattaya
পুনরাবৃত্ত	punarabrtta
পুনরাবৃত্তি	punarabrtti
পুনরাবৃত্তি	punarabrtti
করা	kara
পুনরাবৃত্তিকারী	punarabrttikari
পুনরাবৃত্তিমূলক	punarabrttimulaka
পুনরায়	punaraya
পুনরায়	punaraya
করা	kara
পুনরায়	punaraya
চিন্তা	cinta
করা	kara
পুনরায়	punaraya
ছাপান	chapana
পুনরায়	punaraya
জালানী	jalani
সরবরাহ	sarabaraha
করা	kara
পুনরায়	punaraya
তরূণ	taruna
করা	kara
পুনরায়	punaraya
দেহধারণ	dehadharana
পুনরায়	punaraya
নিশ্চিত	nishcita
করা	kara
পুনরায়	punaraya
পালিশ	palisha
করা	kara
পুনরায়	punaraya
পূর্ণকরণ	purnakarana
পুনরায়	punaraya
বহাল	bahala
করা	kara
পুনরায়	punaraya
বিন্যাস	binyasa
করা	kara
পুনরায়	punaraya
বিভক্ত	bibhakta
পুনরায়	punaraya
বিয়ে	biye
পুনরায়	punaraya
সংগ্রহিত	sangrahita
করা	kara
পুনরায়	punaraya
সজ্জিত	sajjita
করা	kara
পুনরারম্ভ	punararambha
পুনরারম্ভ	punararambha
করা	kara
পুনরালোচনা	punaralocana
পুনরুজ্জীবিত	punarujjibita
পুনরুত্থান	punarutthana
পুনরুদ্দীপ্ত	punaruddipta
পুনরুদ্ধার	punaruddhara
পুনরূজ্জীবিত	punarujjibita
করা	kara
পুনরূজ্জীবিত	punarujjibita
করান	karana
পুনরূত্থান	punarutthana
পুনরূত্থানকারী	punarutthanakari
পুনরূদ্ধার	punaruddhara
পুনরূদ্ধার	punaruddhara
করা	kara
পুনর্করণ	punarkarana
পুনর্গঠন	punargahana
পুনর্গঠন	punargahana
করা	kara
পুনর্গঠিত	punargahita
পুনর্জন্ম	punarjanma
পুনর্জাত	punarjata
পুনর্জ্ীবত	punarjibata
করা	kara
পুনর্নব	punarnaba
পুনর্নিবেদন	punarnibedana
করা	kara
পুনর্নির্দেশ	punarnirdesha
পুনর্নির্মাণ	punarnirmana
করা	kara
পুনর্নির্মিত	punarnirmita
পুনর্বার	punarbara
পুনর্বার	punarbara
লেখা	lekha
পুনর্বাসন	punarbasana
পুনর্বাসিত	punarbasita
করা	kara
পুনর্বাসিত	punarbasita
ব্যক্তি	byakti
পুনর্বিক্রয়	punarbikraya
পুনর্বিচার	punarbicara
পুনর্বিচার	punarbicara
করা	kara
পুনর্বিন্যাস	punarbinyasa
পুনর্বিন্যাস	punarbinyasa
করা	kara
পুনর্বিবাহের	punarbibahera
পুনর্ব্যবহারযোগ্য	punarbyabaharayogya
পুনর্ব্যবহৃত	punarbyabahrta
পুনর্মিলন	punarmilana
পুনর্মিলিত	punarmilita
করা	kara
পুনর্মূল্যায়ন	punarmulyayana
পুনর্লিখিত	punarlikhita
পুনর্সাজান	punarsajana
পুনশ্চ	punashca
পুবাল	pubala
বাতাস	batasa
পুমা	puma
পুরস্কার	puraskara
পুরস্কৃত	puraskrta
করা	kara
পুরাতত্ত্ব	puratattba
পুরাতন	puratana
পুরাতন	puratana
বন্ধুবান্ধব	bandhubandhaba
প্রভৃতির	prabhrtira
পুনর্মিলন	punarmilana
পুরাতন	puratana
বাসিন্দা	basinda
পুরান	purana
পুরান	purana
ধারণার	dharanara
পুরান	purana
হত্তয়া	hattaya
পুরাপুরি	purapuri
পুরু	puru
পুরু	puru
চর্মযুক্ত	carmayukta
পুরুষত্ব	purusatba
পুরুষত্বহীন	purusatbahina
পুরুষত্বহীনতা	purusatbahinata
পুরুষের	purusera
চোগা	coga
পুরুষোচিত	purusocita
পুরো	puro
পুরো	puro
সময়	samaya
পুরোনো	purono
জিনিস	jinisa
পুরোপুরি	puropuri
পুরোভূমি	purobhumi
পুল	pula
টেবিল	ebila
পুলিন্দা	pulinda
পুলিশ	pulisha
পুলিশ	pulisha
অফিসার	aphisara
পুলিশ	pulisha
বাহিনী	bahini
পুলিশ	pulisha
বিভাগ	bibhaga
পুলিশ	pulisha
রাষ্ট্র	rasra
পুলোভার	pulobhara
পুষা	pusa
পুষ্ট	pusa
পুষ্টি	pusi
পুষ্টিকর	pusikara
পুষ্টির	pusira
পুষ্প	puspa
পুষ্পময়	puspamaya
পুষ্পলতাবিশেষ	puspalatabishesa
পুষ্পশোভিত	puspashobhita
পুস্তিকা	pustika
পূঁয	pumya
পূজনীয়	pujaniya
পূজা	puja
করা	kara
পূজ্য	pujya
পূতি	puti
পূতিগন্ধময়	putigandhamaya
পূরণ	purana
করা	kara
পূরণবাচক	puranabacaka
পূরণীয়	puraniya
পূর্ণ	purna
পূর্ণ	purna
মাত্রার	matrara
পূর্ণপ্রসারিত	purnaprasarita
দেহে	dehe
পূর্ণবয়স্ক	purnabayaska
পূর্ণবিকাশ	purnabikasha
পূর্ণবেগে	purnabege
দৌড়ান	daurana
পূর্ণসংখ্যা	purnasankhya
পূর্ণিমা	purnima
পূর্ব	purba
পূর্বকল্পিত	purbakalpita
পূর্বদিকে	purbadike
পূর্বদিক্	purbadik
পূর্বদেশীয়	purbadeshiya
পূর্বধারণা	purbadharana
পূর্বনির্দিষ্ট	purbanirdisa
পূর্বপক্ষ	purbapaksa
পূর্বপরিকল্পনা	purbaparikalpana
পূর্বপুরুষ	purbapurusa
পূর্বপুরুষগণ	purbapurusagana
পূর্ববর্তী	purbabarti
পূর্বলক্ষণ	purbalaksana
পূর্বশর্ত	purbasharta
পূর্বস্মৃতি	purbasmrti
পূর্বানুমান	purbanumana
পূর্বাভাস	purbabhasa
পূর্বাভাস	purbabhasa
দেত্তয়া	dettaya
পূর্বাশঙ্কা	purbashanka
পূর্বাস্বাদন	purbasbadana
পূর্বাহ্নিক	purbahnika
সতর্কতামূলক	satarkatamulaka
পূর্বাহ্নে	purbahne
নির্ধারিত	nirdharita
পূর্বাহ্নেই	purbahnei
মানিয়া	maniya
লত্তয়া	lattaya
পূর্বে	purbe
পূর্বেই	purbei
দেখা	dekha
পূর্বেই	purbei
সতর্ক	satarka
করা	kara
পূর্বোক্ত	purbokta
পৃথক	prthaka
পৃথকভাবে	prthakabhabe
পৃথকীকরণ	prthakikarana
পৃথক্	prthak
পৃথিবী	prthibi
পৃথিবী	prthibi
পৃষ্ঠ	prsha
পৃষ্ঠদেশীয়	prshadeshiya
পৃষ্ঠপোষকতা	prshaposakata
পৃষ্ঠস্থ	prshastha
পৃষ্ঠা	prsha
পৃষ্ঠা	prsha
পরিবর্তনের	paribartanera
পৃষ্ঠাঙ্কন	prshankana
পেঁচা	pemca
পেঁচান	pemcana
পেঁচার	pemcara
ডাক	daka
পেঁপে	pempe
পেঁয়াজ	pemyaja
পেংগুইন	penguina
পেচপেচে	pecapece
পেজার	pejara
পেট	pea
পেটা	pea
পেটুক	peuka
পেটেণ্ট	peena
পেটেন্ট	peena
চামড়া	camara
পেটের	peera
পেট্রল	perala
পেট্রলপাস্প	peralapaspa
পেতনী	petani
পেতিতে	petite
পেন	pena
পেন	pena
প্যাল	pyala
পেনশন	penashana
পেনাল্টি	penali
বক্সের	baksera
পেনিসিলিন্	penisilin
পেন্সিল	pensila
পেন্সিল	pensila
ক্ষেত্রে	ksetre
পেন্সিল	pensila
শাণত্তয়ালা	shanattayala
পেপারনি	peparani
পেয়েছেন	peyechena
পেরিয়ে	periye
পেরেক	pereka
পেরেক	pereka
দিয়া	diya
আটকান	aakana
পেলিক্যান্	pelikyan
পেলোড	peloda
পেশা	pesha
পেশাগতভাবে	peshagatabhabe
পেশাদারি	peshadari
পেশাদারী	peshadari
পেশীবহুল	peshibahula
পেষকদন্ত	pesakadanta
পেসমেকার	pesamekara
পেস্তা	pesta
বাদাম	badama
পৈতৃক	paitrka
পৈতৃক	paitrka
সম্পত্তি	sampatti
পৈশাচিক	paishacika
পোঁটলা	pomala
পোঁদ	pomda
পোকা	poka
পোড়া	pora
পোত	pota
পোতারূঢ	potarudha
করা	kara
পোদ্দার	poddara
পোপ	popa
পোপসংক্রান্ত	popasankranta
পোপের	popera
পোয়ানো	poyano
পোর্টাল	porala
পোল	pola
পোলভল্ট	polabhala
পোলারয়েড	polarayeda
পোলিং	poling
জায়গা	jayaga
পোলিও	polio
পোলিশ	polisha
পোলো	polo
পোলো	polo
শার্ট	shara
পোশাক	poshaka
পোশাক	poshaka
রিহার্সাল	riharsala
পোশাকপ্রস্তুতকারক	poshakaprastutakaraka
পোশাকপরিচ্ছদ	poshakaparicchada
পোষণ	posana
করা	kara
পোষা	posa
পোষাক	posaka
কোড	koda
পোষ্ট	posa
মর্টেম	marema
বা	ba
সুরতহালের	suratahalera
পোষ্যপুত্র	posyaputra
গ্রহণ	grahana
করা	kara
পোস্ট	posa
পোস্ট	posa
অফিস	aphisa
বক্স	baksa
পোস্ট	posa
ডক্টোরাল	dakorala
পোস্টকার্ড	posakarda
পোস্টার	posara
পোস্ত	posta
পৌত্তলিক	pauttalika
পৌর	paura
ক্রীড়াবিশেষ	krirabishesa
পৌরমুখ্য	pauramukhya
পৌরসভা	paurasabha
প্যাঁচালো	pyamcalo
প্যাক	pyaka
প্যাক	pyaka
ইঁদুর	imdura
প্যাকেজ	pyakeja
প্যাকেজ	pyakeja
ট্যুর	yura
প্যাকেজিং	pyakejing
প্যাটার্ন	pyaarna
প্যাড	pyada
প্যাডিং	pyading
প্যাডেল	pyadela
প্যানকেক	pyanakeka
প্যানরোমিক	pyanaromika
প্যানেল	pyanela
প্যানেলের	pyanelera
কাজ	kaja
প্যান্ট	pyana
প্যান্টিহস	pyanihasa
প্যারডি	pyaradi
প্যারানয়া	pyaranaya
প্যারাফিন্	pyaraphin
প্যারামেডিক	pyaramedika
প্যারালিগাল	pyaraligala
প্যারাশুট	pyarashua
প্যারাশূট	pyarashua
বাহিনীভুক্ত	bahinibhukta
সৈনিক	sainika
প্যারিশ	pyarisha
প্যারিশের	pyarishera
অধিবাসী	adhibasi
প্যারেড	pyareda
প্যালেট	pyalea
প্র	pra
প্র	pra
স্কুল	skula
প্রকট	prakaa
করা	kara
প্রকল্প	prakalpa
প্রকাণ্ড	prakanda
প্রকাশ	prakasha
প্রকাশ	prakasha
করা	kara
প্রকাশক	prakashaka
প্রকাশন	prakashana
প্রকাশিত	prakashita
হত্তয়া	hattaya
প্রকাশ্য	prakashya
প্রকাশ্যে	prakashye
প্রকৃত	prakrta
প্রকৃতপক্ষে	prakrtapakse
প্রকৃতি	prakrti
প্রকৃতিগত	prakrtigata
প্রকৃতিবাদী	prakrtibadi
প্রকৃতিবিজ্ঞানী	prakrtibijnani
প্রকৌশল	prakaushala
প্রকৌশলী	prakaushali
প্রক্রান্ত	prakranta
প্রক্রিয়া	prakriya
প্রক্রিয়াগত	prakriyagata
প্রক্ষিপ্ত	praksipta
প্রক্সি	praksi
প্রখর	prakhara
প্রখরতা	prakharata
প্রখরভাবে	prakharabhabe
প্রখ্যাত	prakhyata
প্রগতিশীল	pragatishila
প্রগাঢ়	pragarha
প্রচণ্ড	pracanda
প্রচণ্ড	pracanda
দিন	dina
প্রচণ্ড	pracanda
ঝড়	jhara
প্রচন্ডভাবে	pracandabhabe
প্রচলিত	pracalita
প্রচলিত	pracalita
প্রথামত	prathamata
প্রচলিত	pracalita
মতবেরোধী	mataberodhi
প্রচলিতো	pracalito
প্রচার	pracara
প্রচার	pracara
করা	kara
প্রচারক	pracaraka
প্রচারতা	pracarata
প্রচারমূলক	pracaramulaka
প্রচারাভিযান	pracarabhiyana
প্রচারিত	pracarita
করা	kara
প্রচারের	pracarera
জন্য	janya
প্রেরিত	prerita
ব্যক্তিসম্বন্ধীয়	byaktisambandhiya
ভাববাদিতুল্য	bhababaditulya
প্রচুর	pracura
প্রচুর	pracura
পরিমাণে	parimane
প্রচুর	pracura
প্রচুর	pracura
লালা	lala
নির্গত	nirgata
হত্তয়া	hattaya
প্রচুর	pracura
সংখ্যায়	sankhyaya
স্বীয়	sbiya
বংশবৃদ্ধি	banshabrddhi
প্রচেষ্টা	pracesa
প্রজনন	prajanana
প্রজনন	prajanana
বিদ্যা	bidya
বিশেষজ্ঞ	bishesajna
প্রজনন	prajanana
স্থল	sthala
প্রজন্ম	prajanma
প্রজন্মের	prajanmera
ফাঁক	phamka
প্রজা	praja
প্রজাতন্ত্র	prajatantra
প্রজাতন্ত্রী	prajatantri
প্রজাতি	prajati
প্রজাপতি	prajapati
প্রজাস্বত্ব	prajasbatba
প্রজেক্ট	prajeka
প্রজেক্টর	prajekara
প্রজ্ঞাপন	prajnapana
প্রজ্বলন	prajbalana
প্রণয়ী	pranayi
প্রণালী	pranali
প্রণোদিত	pranodita
করা	kara
প্রতারক	prataraka
প্রতারণ	pratarana
প্রতারণা	pratarana
প্রতারণা	pratarana
করা	kara
প্রতারণাপূর্ণ	prataranapurna
প্রতারণাপূর্ণ	prataranapurna
কৌশল	kaushala
প্রতারণামূলক	prataranamulaka
প্রতারিত	pratarita
ব্যক্তি	byakti
প্রতি	prati
প্রতিকল্পন	pratikalpana
প্রতিকার	pratikara
প্রতিকার	pratikara
করা	kara
প্রতিকূল	pratikula
প্রতিকূল	pratikula
টেকওভারের	ekaobharera
প্রতিকূলতা	pratikulata
করা	kara
প্রতিকূলতার	pratikulatara
প্রতিকৃতি	pratikrti
প্রতিক্রিয়া	pratikriya
প্রতিক্রিয়াশীল	pratikriyashila
প্রতিক্ষেপণ	pratiksepana
প্রতিগ্রহণ	pratigrahana
প্রতিচিত্র	praticitra
প্রতিচ্ছায়া	praticchaya
প্রতিজ্ঞা	pratijna
প্রতিদান	pratidana
প্রতিদ্বন্দিতাপূর্ণ	pratidbanditapurna
প্রতিদ্বন্দ্বী	pratidbandbi
প্রতিধ্বনি	pratidhbani
প্রতিধ্বনিত	pratidhbanita
করা	kara
প্রতিনিধি	pratinidhi
প্রতিনিধি	pratinidhi
কাজ	kaja
করে	kare
প্রতিনিধি	pratinidhi
প্রতিনিধিত্ব	pratinidhitba
প্রতিপত্তি	pratipatti
প্রতিপন্ন	pratipanna
করা	kara
প্রতিপাদন	pratipadana
প্রতিপালন	pratipalana
প্রতিপালন	pratipalana
করা	kara
প্রতিপালিত	pratipalita
প্রতিপ্রভ	pratiprabha
প্রতিফল	pratiphala
প্রতিফলক	pratiphalaka
প্রতিফলন	pratiphalana
প্রতিফলিত	pratiphalita
প্রতিবন্ধ	pratibandha
প্রতিবন্ধক	pratibandhaka
প্রতিবন্ধকতা	pratibandhakata
প্রতিবর্তী	pratibarti
ক্রিয়া	kriya
প্রতিবাদ	pratibada
করা	kara
প্রতিবাদী	pratibadi
প্রতিবিম্ব	pratibimba
প্রতিবেশ	pratibesha
প্রতিবেশিসুলভ	pratibeshisulabha
প্রতিবেশী	pratibeshi
প্রতিভা	pratibha
প্রতিভাধর	pratibhadhara
প্রতিভাশালী	pratibhashali
প্রতিভূ	pratibhu
প্রতিমা	pratima
প্রতিমাপূজা	pratimapuja
প্রতিমূর্তি	pratimurti
প্রতিযোগিতা	pratiyogita
করা	kara
প্রতিরক্ষা	pratiraksa
প্রতিরক্ষা	pratiraksa
প্রক্রিয়া	prakriya
প্রতিরক্ষামূলক	pratiraksamulaka
প্রতিরোধ	pratirodha
প্রতিরোধ	pratirodha
করা	kara
প্রতিরোধযোগ্য	pratirodhayogya
প্রতিরোধী	pratirodhi
প্রতিলিপি	pratilipi
প্রতিলিপির	pratilipira
গ্রহণ	grahana
প্রতিশব্দ	pratishabda
প্রতিশোধ	pratishodha
প্রতিশোধ	pratishodha
গ্রহণ	grahana
প্রতিশোধমূলক	pratishodhamulaka
নিপীড়ন	nipirana
প্রতিশ্রুতি	pratishruti
প্রতিষেধক	pratisedhaka
প্রতিষ্ঠাতা	pratishata
প্রতিষ্ঠান	pratishana
প্রতিসাম্য	pratisamya
প্রতিস্থাপন	pratisthapana
প্রতিস্থাপন	pratisthapana
করা	kara
প্রতিস্থাপনের	pratisthapanera
যোগ্য	yogya
প্রতিহত	pratihata
করা	kara
প্রতিহিংসা	pratihinsa
প্রতিহিংসা	pratihinsa
গ্রহণ	grahana
করা	kara
প্রতিহিংসাপরায়ণ	pratihinsaparayana
প্রতীক	pratika
প্রতীকী	pratiki
প্রতীকীবাদ	pratikibada
প্রতীক্ষা	pratiksa
প্রতীক্ষা	pratiksa
করা	kara
প্রতীয়মান	pratiyamana
প্রতু্যত্তর	pratuyattara
প্রত্নতত্ত্ববিৎ	pratnatattbabit
প্রত্নতাত্ত্বিক	pratnatattbika
প্রত্যক্ষ	pratyaksa
সাক্ষী	saksi
প্রত্যন্ত	pratyanta
প্রত্যয়	pratyaya
প্রত্যর্পণ	pratyarpana
প্রত্যর্পণ	pratyarpana
করা	kara
প্রত্যাখ্যান	pratyakhyana
প্রত্যাখ্যান	pratyakhyana
করা	kara
প্রত্যাগতি	pratyagati
প্রত্যাবর্তন	pratyabartana
প্রত্যাবর্তন	pratyabartana
করা	kara
প্রত্যাবাসন	pratyabasana
করান	karana
প্রত্যায়ন	pratyayana
করা	kara
প্রত্যাশা	pratyasha
প্রত্যাশিত	pratyashita
প্রত্যাশী	pratyashi
প্রত্যাহার	pratyahara
প্রত্যাহার	pratyahara
করা	kara
প্রথম	prathama
প্রথম	prathama
ডিগ্রী	digri
প্রথম	prathama
বন্ধনী	bandhani
প্রথম	prathama
বেস	besa
প্রথম	prathama
ব্যক্তি	byakti
প্রথম	prathama
ভদ্রমহিলা	bhadramahila
প্রথম	prathama
শ্রেণী	shreni
প্রথম	prathama
শ্রেণীর	shrenira
প্রথম	prathama
স্থান	sthana
প্রথমত	prathamata
প্রথমশ্রেণীভুক্ত	prathamashrenibhukta
প্রথমে	prathame
প্রদত্ত	pradatta
প্রদত্ত	pradatta
নাম	nama
প্রদর্শক	pradarshaka
প্রদর্শন	pradarshana
প্রদর্শন	pradarshana
বলুন	baluna
প্রদর্শনী	pradarshani
প্রদর্শনী	pradarshani
খেলা	khela
প্রদর্শিত	pradarshita
প্রদর্শিত	pradarshita
সৌলন্যাদি	saulanyadi
প্রদান	pradana
প্রদান	pradana
করা	kara
প্রদান	pradana
যে	ye
প্রদাহ	pradaha
প্রদাহী	pradahi
প্রদীপ্ত	pradipta
প্রদেয়	pradeya
প্রদেশ	pradesha
প্রধান	pradhana
প্রধান	pradhana
পুরোহিতসংক্রান্ত	purohitasankranta
প্রধান	pradhana
লোক	loka
প্রধানত	pradhanata
প্রধানতম	pradhanatama
প্রধানতা	pradhanata
প্রধানমন্ত্রী	pradhanamantri
প্রধানমন্ত্রী	pradhanamantri
হার	hara
প্রপঁচ	prapamca
প্রপৌত্র	prapautra
প্রফুল্ল	praphulla
প্রফুল্লতা	praphullata
প্রফুল্লিত	praphullita
প্রবক্তা	prabakta
প্রবচন	prabacana
প্রবণ	prabana
প্রবণতা	prabanata
প্রবন্ধ	prabandha
প্রবর্তক	prabartaka
প্রবর্তন	prabartana
করা	kara
প্রবর্তনা	prabartana
প্রবল	prabala
প্রবল	prabala
তুষারঝড়	tusarajhara
প্রবল	prabala
বর্ষণ	barsana
প্রবল	prabala
বা	ba
তীব্র	tibra
প্রবল	prabala
বৃষ্টিপাত	brsipata
প্রবলভাবে	prabalabhabe
প্রবলভাবে	prabalabhabe
নি	ni
সৃত	srta
পদার্থ	padartha
প্রবলভাবে	prabalabhabe
সক্রিয়	sakriya
করা	kara
প্রবাদ	prabada
প্রবাদতুল্য	prabadatulya
প্রবালকীট	prabalakia
প্রবালপ্রাচীর	prabalapracira
প্রবাস	prabasa
প্রবাহ	prabaha
প্রবাহতাড়িত	prabahatarita
ব্যক্তি	byakti
প্রবাহিত	prabahita
করা	kara
প্রবিধান	prabidhana
প্রবিষ্ট	prabisa
করান	karana
প্রবীণ	prabina
সৈনিক	sainika
প্রবীনত্ব	prabinatba
প্রবৃত্তি	prabrtti
প্রবৃদ্ধ	prabrddha
প্রবেশ	prabesha
প্রবেশ	prabesha
করান	karana
প্রবেশক	prabeshaka
প্রবেশদ্বার	prabeshadbara
প্রবেশদ্বার	prabeshadbara
ঢালু	dhalu
প্রবেশপথ	prabeshapatha
প্রবেশযোগ্য	prabeshayogya
প্রবেশাধিকার	prabeshadhikara
প্রভাব	prabhaba
প্রভাবশালী	prabhabashali
প্রভাবিত	prabhabita
করা	kara
প্রভাময়	prabhamaya
প্রভাশালী	prabhashali
প্রভৃতি	prabhrti
প্রভেদ	prabheda
করা	kara
প্রভোস্ট	prabhosa
প্রমত্ত	pramatta
প্রমাণ	pramana
প্রমাণ	pramana
করা	kara
প্রমাণদায়ক	pramanadayaka
প্রমাণযোগ্য	pramanayogya
প্রমাণিত	pramanita
প্রমাণীকরণ	pramanikarana
প্রমাদ	pramada
প্রমিত	pramita
করা	kara
প্রমিতকরণ	pramitakarana
প্রমেহ	prameha
প্রমো	pramo
প্রম্পট	prampaa
প্রয়াস	prayasa
প্রয়োগ	prayoga
প্রয়োগ	prayoga
করা	kara
প্রয়োগিক	prayogika
বিদ্যালয়	bidyalaya
প্রয়োজন	prayojana
প্রয়োজনীয়	prayojaniya
প্রয়োজনে	prayojane
সংশোধন	sanshodhana
প্রযুক্তি	prayukti
প্রযুক্তিক	prayuktika
প্রযুক্তিগত	prayuktigata
প্রযুক্তিগত	prayuktigata
সমস্যা	samasya
প্রযোজ্য	prayojya
প্ররোচনা	prarocana
প্ররোচিত	prarocita
করা	kara
প্ররোহ	praroha
প্রলাপ	pralapa
প্রলাপী	pralapi
প্রলুব্ধ	pralubdha
করা	kara
প্রলুব্ধকর	pralubdhakara
প্রলেপক	pralepaka
প্রলোভন	pralobhana
প্রলোভনসঙ্কুল	pralobhanasankula
প্রশংসক	prashansaka
প্রশংসনীয়	prashansaniya
প্রশংসা	prashansa
প্রশংসিত	prashansita
প্রশমনকারী	prashamanakari
প্রশমিত	prashamita
কণা	kana
প্রশমিত	prashamita
করা	kara
প্রশস্ত	prashasta
প্রশস্ত	prashasta
করা	kara
প্রশস্ততা	prashastata
প্রশাখা	prashakha
প্রশান্ত	prashanta
প্রশান্ত	prashanta
মহাসাগর	mahasagara
প্রশান্তি	prashanti
প্রশান্তিদায়ক	prashantidayaka
প্রশাসক	prashasaka
প্রশাসন	prashasana
প্রশাসনিক	prashasanika
প্রশিক্ষণ	prashiksana
প্রশ্ন	prashna
প্রশ্ন	prashna
টিপ	ipa
প্রশ্নচিহ্ন	prashnacihna
প্রশ্নাবলী	prashnabali
প্রশ্রয়	prashraya
প্রসঙ্গক্রমে	prasangakrame
প্রসন্ন	prasanna
প্রসন্ন	prasanna
হত্তয়া	hattaya
প্রসব	prasaba
করা	kara
প্রসাধক	prasadhaka
প্রসাধন	prasadhana
প্রসাধনীয়	prasadhaniya
থলি	thali
প্রসার	prasara
প্রসারক	prasaraka
প্রসারণ	prasarana
প্রসারণশীল	prasaranashila
প্রসারি	prasari
অগ্রভাগ	agrabhaga
প্রসারিত	prasarita
প্রসারিত	prasarita
করা	kara
প্রসিকিউশন	prasikiushana
প্রসিদ্ধ	prasiddha
প্রসেসর	prasesara
প্রস্তাব	prastaba
প্রস্তাবনা	prastabana
প্রস্তুত	prastuta
প্রস্তুত	prastuta
করা	kara
প্রস্তুতি	prastuti
প্রস্তুতিপর্বের	prastutiparbera
কাজ	kaja
প্রস্তুতিমূলক	prastutimulaka
প্রস্থান	prasthana
প্রস্থান	prasthana
করা	kara
প্রস্থান	prasthana
ঢালু	dhalu
প্রস্থান	prasthana
পোল	pola
প্রস্ফুটিত	prasphuita
প্রস্রাব	prasraba
প্রস্রাব	prasraba
বন্ধ	bandha
প্রহরী	prahari
প্রহরীর	praharira
বেড়া	bera
